query,dataset,run_number,vanilla_time_sec
8.sql,tpch,7,24.37
9.sql,tpch,7,30.13
query1.sql,tpcds,7,15.23
query10.sql,tpcds,7,16.17
query11.sql,tpcds,7,31.39
query12.sql,tpcds,7,14.62
query13.sql,tpcds,7,14.40
query14.sql,tpcds,7,fail
query15.sql,tpcds,7,14.59
query16.sql,tpcds,7,15.74
query17.sql,tpcds,7,29.90
query18.sql,tpcds,7,16.38
query19.sql,tpcds,7,14.75
query2.sql,tpcds,7,14.66
query20.sql,tpcds,7,13.80
query21.sql,tpcds,7,13.57
query22.sql,tpcds,7,15.15
query23.sql,tpcds,7,fail
query24.sql,tpcds,7,fail
query25.sql,tpcds,7,29.53
query26.sql,tpcds,7,15.08
query27.sql,tpcds,7,15.63
query28.sql,tpcds,7,20.96
query29.sql,tpcds,7,30.43
query3.sql,tpcds,7,13.14
query30.sql,tpcds,7,fail
query31.sql,tpcds,7,19.54
query32.sql,tpcds,7,14.60
query33.sql,tpcds,7,16.49
query34.sql,tpcds,7,14.33
query35.sql,tpcds,7,17.05
query36.sql,tpcds,7,14.71
query37.sql,tpcds,7,15.95
query38.sql,tpcds,7,20.23
query39.sql,tpcds,7,fail
query4.sql,tpcds,7,37.79
query40.sql,tpcds,7,19.36
query41.sql,tpcds,7,10.22
query42.sql,tpcds,7,12.49
query43.sql,tpcds,7,13.76
query44.sql,tpcds,7,14.58
query45.sql,tpcds,7,13.66
query46.sql,tpcds,7,15.75
query47.sql,tpcds,7,19.23
query48.sql,tpcds,7,14.88
query49.sql,tpcds,7,20.68
query5.sql,tpcds,7,19.56
query50.sql,tpcds,7,24.37
query51.sql,tpcds,7,23.03
query52.sql,tpcds,7,12.96
query53.sql,tpcds,7,14.03
query54.sql,tpcds,7,17.74
query55.sql,tpcds,7,14.17
query56.sql,tpcds,7,16.19
query57.sql,tpcds,7,14.58
query58.sql,tpcds,7,16.82
query59.sql,tpcds,7,15.67
query6.sql,tpcds,7,19.10
query60.sql,tpcds,7,16.99
query61.sql,tpcds,7,10.43
query62.sql,tpcds,7,14.45
query63.sql,tpcds,7,14.04
query64.sql,tpcds,7,37.40
query65.sql,tpcds,7,17.95
query66.sql,tpcds,7,16.70
query67.sql,tpcds,7,fail
query68.sql,tpcds,7,15.79
query69.sql,tpcds,7,11.84
query7.sql,tpcds,7,15.76
query70.sql,tpcds,7,15.49
query71.sql,tpcds,7,15.30
query72.sql,tpcds,7,37.01
query73.sql,tpcds,7,14.55
query74.sql,tpcds,7,26.00
query75.sql,tpcds,7,26.22
query76.sql,tpcds,7,14.79
query77.sql,tpcds,7,17.35
query78.sql,tpcds,7,35.61
query79.sql,tpcds,7,14.86
query8.sql,tpcds,7,14.63
query80.sql,tpcds,7,35.44
query81.sql,tpcds,7,15.37
query82.sql,tpcds,7,16.95
query83.sql,tpcds,7,15.49
query84.sql,tpcds,7,14.13
query85.sql,tpcds,7,18.43
query86.sql,tpcds,7,13.40
query87.sql,tpcds,7,19.81
query88.sql,tpcds,7,17.90
query89.sql,tpcds,7,15.02
query9.sql,tpcds,7,15.17
query90.sql,tpcds,7,12.69
