query,dataset,register_mean,bare_mean,full_mean,vanilla_mean,nowrite_mean
query95.sql,tpcds,11916.444444444445,11533.222222222223,12798.444444444445,11672.555555555555,11439.666666666666
query109.sql,tpcds,1632.5555555555557,1447.7777777777778,1575.3333333333333,1691.0,1631.0
query118.sql,tpcds,2319.0,2356.222222222222,2354.777777777778,2646.1111111111113,2386.222222222222
query34.sql,tpcds,2540.222222222222,2610.777777777778,2830.222222222222,2454.1111111111113,2442.1111111111113
query66.sql,tpcds,4448.333333333333,4516.888888888889,4884.111111111111,5178.777777777777,4353.444444444444
query128.sql,tpcds,1524.6666666666667,1647.111111111111,1703.888888888889,1651.6666666666667,1610.6666666666667
query103.sql,tpcds,1034.2222222222222,1033.0,1193.0,976.4444444444445,950.3333333333334
query41.sql,tpcds,552.1111111111111,497.0,540.5555555555555,742.4444444444445,495.3333333333333
query8.sql,tpcds,2410.5555555555557,2481.777777777778,2429.5555555555557,2349.5555555555557,2545.4444444444443
query80.sql,tpcds,22610.11111111111,24315.333333333332,29768.555555555555,21951.444444444445,33681.88888888889
query111.sql,tpcds,1756.0,1603.0,1913.5555555555557,1799.111111111111,1735.3333333333333
query106.sql,tpcds,1055.7777777777778,1125.2222222222222,1053.111111111111,1454.888888888889,1073.6666666666667
query79.sql,tpcds,2402.1111111111113,2306.222222222222,2335.6666666666665,2395.3333333333335,2454.5555555555557
query127.sql,tpcds,1813.888888888889,1735.2222222222222,1889.0,2073.4444444444443,1769.888888888889
query105.sql,tpcds,1282.0,1055.6666666666667,1314.888888888889,1270.7777777777778,948.6666666666666
23.sql,tpch,6830.777777777777,6823.888888888889,6579.444444444444,6724.777777777777,7090.333333333333
34.sql,tpch,22967.444444444445,13852.444444444445,21399.444444444445,16428.88888888889,15094.111111111111
query93.sql,tpcds,10450.222222222223,9994.111111111111,10639.666666666666,10425.111111111111,10343.0
