query,dataset,run_number,listener_nowrite_time
query22.sql,tpcds,7,14.63
query23.sql,tpcds,7,8.39
query24.sql,tpcds,7,8.67
query25.sql,tpcds,7,29.27
query26.sql,tpcds,7,14.00
query27.sql,tpcds,7,15.18
query28.sql,tpcds,7,20.27
query29.sql,tpcds,7,28.17
query3.sql,tpcds,7,12.49
query30.sql,tpcds,7,8.16
query31.sql,tpcds,7,19.11
query32.sql,tpcds,7,14.46
query33.sql,tpcds,7,17.17
query34.sql,tpcds,7,13.99
query35.sql,tpcds,7,17.22
query36.sql,tpcds,7,14.82
query37.sql,tpcds,7,15.55
query38.sql,tpcds,7,19.31
query39.sql,tpcds,7,8.04
query4.sql,tpcds,7,39.35
query40.sql,tpcds,7,20.05
query41.sql,tpcds,7,10.63
query42.sql,tpcds,7,12.69
query43.sql,tpcds,7,13.42
query44.sql,tpcds,7,14.86
query45.sql,tpcds,7,14.09
query46.sql,tpcds,7,15.04
query47.sql,tpcds,7,18.43
query48.sql,tpcds,7,14.52
query49.sql,tpcds,7,20.46
query5.sql,tpcds,7,19.22
query50.sql,tpcds,7,25.59
query51.sql,tpcds,7,23.13
query52.sql,tpcds,7,13.56
query53.sql,tpcds,7,13.66
query54.sql,tpcds,7,18.65
query55.sql,tpcds,7,13.25
query56.sql,tpcds,7,15.96
query57.sql,tpcds,7,14.48
query58.sql,tpcds,7,15.69
query59.sql,tpcds,7,16.95
query6.sql,tpcds,7,23.70
query60.sql,tpcds,7,16.64
query61.sql,tpcds,7,10.56
query62.sql,tpcds,7,14.44
query63.sql,tpcds,7,13.81
query64.sql,tpcds,7,37.05
query65.sql,tpcds,7,18.06
query66.sql,tpcds,7,16.77
query67.sql,tpcds,7,7.91
query68.sql,tpcds,7,14.46
query69.sql,tpcds,7,12.01
query7.sql,tpcds,7,15.83
query70.sql,tpcds,7,15.16
query71.sql,tpcds,7,15.16
query72.sql,tpcds,7,36.06
query73.sql,tpcds,7,13.88
query74.sql,tpcds,7,27.37
query75.sql,tpcds,7,24.70
query76.sql,tpcds,7,14.74
query77.sql,tpcds,7,17.16
query78.sql,tpcds,7,36.13
query79.sql,tpcds,7,14.50
query8.sql,tpcds,7,13.81
query80.sql,tpcds,7,37.45
query81.sql,tpcds,7,14.63
query82.sql,tpcds,7,15.95
query83.sql,tpcds,7,14.54
query84.sql,tpcds,7,13.83
query85.sql,tpcds,7,18.22
query86.sql,tpcds,7,13.49
query87.sql,tpcds,7,20.71
query88.sql,tpcds,7,17.27
