query,dataset,run_number,vanilla_time_sec
query81.sql,tpcds,5,15.03
query82.sql,tpcds,5,15.89
query83.sql,tpcds,5,15.14
query84.sql,tpcds,5,13.86
query85.sql,tpcds,5,17.31
query86.sql,tpcds,5,13.74
query87.sql,tpcds,5,19.51
query88.sql,tpcds,5,17.37
query89.sql,tpcds,5,14.82
query9.sql,tpcds,5,14.97
query90.sql,tpcds,5,12.27
query91.sql,tpcds,5,12.81
query92.sql,tpcds,5,14.62
query93.sql,tpcds,5,26.49
query94.sql,tpcds,5,20.98
query95.sql,tpcds,5,26.32
query96.sql,tpcds,5,11.18
query97.sql,tpcds,5,20.33
query98.sql,tpcds,5,15.32
query99.sql,tpcds,5,14.20
1.sql,tpch,6,31.35
10.sql,tpch,6,20.86
11.sql,tpch,6,12.41
12.sql,tpch,6,18.32
13.sql,tpch,6,17.57
14.sql,tpch,6,14.61
15.sql,tpch,6,16.72
16.sql,tpch,6,17.67
17.sql,tpch,6,35.67
18.sql,tpch,6,34.26
19.sql,tpch,6,14.84
2.sql,tpch,6,15.57
20.sql,tpch,6,16.74
21.sql,tpch,6,33.09
22.sql,tpch,6,14.68
3.sql,tpch,6,22.53
4.sql,tpch,6,24.60
5.sql,tpch,6,30.14
6.sql,tpch,6,11.22
7.sql,tpch,6,27.74
8.sql,tpch,6,24.60
9.sql,tpch,6,31.16
query1.sql,tpcds,6,15.27
query10.sql,tpcds,6,15.53
query11.sql,tpcds,6,28.26
query12.sql,tpcds,6,14.16
query13.sql,tpcds,6,14.19
query14.sql,tpcds,6,fail
query15.sql,tpcds,6,13.98
query16.sql,tpcds,6,16.18
query17.sql,tpcds,6,29.52
query18.sql,tpcds,6,15.43
query19.sql,tpcds,6,14.75
query2.sql,tpcds,6,14.47
query20.sql,tpcds,6,13.96
query21.sql,tpcds,6,13.17
query22.sql,tpcds,6,15.02
query23.sql,tpcds,6,fail
query24.sql,tpcds,6,fail
query25.sql,tpcds,6,30.08
query26.sql,tpcds,6,14.93
query27.sql,tpcds,6,15.48
query28.sql,tpcds,6,19.89
query29.sql,tpcds,6,29.28
query3.sql,tpcds,6,13.04
query30.sql,tpcds,6,fail
query31.sql,tpcds,6,20.05
query32.sql,tpcds,6,14.29
