query,dataset,register_mean,bare_mean,rowgroup_mean,full_mean,vanilla_mean,nowrite_mean
query91.sql,tpcds,1822.2222222222222,1812.111111111111,1890.3333333333333,1784.7777777777778,1926.7777777777778,1616.142857142857
query102.sql,tpcds,1030.888888888889,1117.111111111111,1177.0,1097.888888888889,893.1111111111111,1057.142857142857
12.sql,tpch,6348.777777777777,5046.555555555556,6996.777777777777,5262.555555555556,7264.0,6209.111111111111
29.sql,tpch,9846.333333333334,11033.333333333334,13331.222222222223,8631.333333333334,9160.555555555555,9117.333333333334
14.sql,tpch,3830.6666666666665,3437.4444444444443,3441.1111111111113,3023.6666666666665,3064.5555555555557,3018.4444444444443
35.sql,tpch,2370.8888888888887,2479.777777777778,2017.111111111111,2099.777777777778,2188.4444444444443,2082.5555555555557
26.sql,tpch,8524.0,8434.666666666666,8416.222222222223,8518.666666666666,8338.333333333334,8440.777777777777
query122.sql,tpcds,1967.2222222222222,1816.2222222222222,2146.222222222222,1951.0,1923.7777777777778,1812.7142857142858
query73.sql,tpcds,2016.5555555555557,2257.4444444444443,2179.777777777778,2394.8888888888887,2052.4444444444443,2549.714285714286
query59.sql,tpcds,3992.8888888888887,3827.0,4052.4444444444443,3919.8888888888887,3808.4444444444443,4093.8571428571427
query13.sql,tpcds,2802.6666666666665,2666.777777777778,2409.5555555555557,2670.5555555555557,2703.5555555555557,2681.285714285714
query55.sql,tpcds,1252.6666666666667,1316.4444444444443,1880.3333333333333,1589.0,1344.7777777777778,1156.2857142857142
query56.sql,tpcds,3767.1111111111113,3884.6666666666665,4054.6666666666665,4145.444444444444,3800.5555555555557,3999.285714285714
query45.sql,tpcds,2155.777777777778,2168.3333333333335,2200.6666666666665,2099.0,2081.3333333333335,2254.285714285714
query15.sql,tpcds,2819.5555555555557,2859.0,2682.8888888888887,2901.5555555555557,2784.1111111111113,2794.4285714285716
query40.sql,tpcds,5341.222222222223,5579.888888888889,5608.0,5012.888888888889,5584.0,5445.428571428572
query1.sql,tpcds,3658.777777777778,3866.5555555555557,3621.1111111111113,3639.4444444444443,3855.0,3670.4285714285716
30.sql,tpch,9642.0,9294.888888888889,9695.555555555555,9357.333333333334,12206.0,9893.666666666666
17.sql,tpch,32924.444444444445,33824.77777777778,34189.88888888889,28232.444444444445,35037.666666666664,28442.11111111111
27.sql,tpch,10573.666666666666,7915.0,12173.333333333334,7932.555555555556,8935.444444444445,8022.333333333333
query64.sql,tpcds,118778.44444444444,107176.0,96042.55555555556,123241.55555555556,116776.77777777778,109436.0
query115.sql,tpcds,2342.5555555555557,2370.0,2305.777777777778,2322.0,2407.222222222222,2479.75
query5.sql,tpcds,7188.111111111111,7078.888888888889,7127.444444444444,7208.888888888889,7515.0,7165.875
query126.sql,tpcds,1793.0,1815.7777777777778,1998.5555555555557,1841.2222222222222,1768.6666666666667,1754.125
query82.sql,tpcds,3799.3333333333335,3222.1111111111113,3139.4444444444443,2829.3333333333335,3203.1111111111113,3012.714285714286
query117.sql,tpcds,2162.6666666666665,2061.4444444444443,2405.1111111111113,2220.6666666666665,2316.5555555555557,2259.0
query120.sql,tpcds,1861.2222222222222,1930.7777777777778,2171.222222222222,1972.5555555555557,2004.7777777777778,1885.142857142857
query33.sql,tpcds,4031.8888888888887,3780.6666666666665,3964.5555555555557,4045.777777777778,3698.4444444444443,3642.714285714286
query26.sql,tpcds,2785.1111111111113,2754.777777777778,2840.777777777778,2838.222222222222,2520.1111111111113,2762.4285714285716
query25.sql,tpcds,14801.222222222223,14679.111111111111,13741.222222222223,14469.666666666666,13801.111111111111,13332.142857142857
query107.sql,tpcds,1002.2222222222222,1089.888888888889,1216.6666666666667,1175.5555555555557,1018.0,978.1428571428571
query12.sql,tpcds,1735.111111111111,1860.888888888889,1979.0,2003.4444444444443,1803.2222222222222,1771.7142857142858
query48.sql,tpcds,3149.222222222222,2989.1111111111113,3145.222222222222,2898.777777777778,3096.777777777778,3163.714285714286
query61.sql,tpcds,1829.888888888889,1976.5555555555557,1853.6666666666667,1861.5555555555557,1846.888888888889,2318.4285714285716
query2.sql,tpcds,3488.6666666666665,3533.1111111111113,3483.222222222222,3483.777777777778,3485.222222222222,3460.0
query57.sql,tpcds,9147.222222222223,9555.333333333334,9495.333333333334,9155.888888888889,9419.0,9027.57142857143
21.sql,tpch,26101.555555555555,25910.444444444445,25373.666666666668,24181.444444444445,26036.333333333332,22790.0
5.sql,tpch,18984.444444444445,20574.11111111111,21254.777777777777,16695.777777777777,21182.222222222223,18531.666666666668
