query,dataset,run_number,listener_time_sec
query7.sql,tpcds,7,15.95
query70.sql,tpcds,7,16.41
query71.sql,tpcds,7,16.18
query72.sql,tpcds,7,34.42
query73.sql,tpcds,7,14.36
query74.sql,tpcds,7,42.20
query75.sql,tpcds,7,44.35
query76.sql,tpcds,7,15.75
query77.sql,tpcds,7,35.06
query78.sql,tpcds,7,38.02
query79.sql,tpcds,7,15.09
query8.sql,tpcds,7,15.13
query80.sql,tpcds,7,32.72
query81.sql,tpcds,7,17.44
query82.sql,tpcds,7,15.42
query83.sql,tpcds,7,15.37
query84.sql,tpcds,7,15.32
query85.sql,tpcds,7,18.32
query86.sql,tpcds,7,14.87
query87.sql,tpcds,7,25.33
query88.sql,tpcds,7,18.35
query89.sql,tpcds,7,15.41
