query,dataset,run_number,listener_nowrite_time
query70.sql,tpcds,5,16.37
query71.sql,tpcds,5,15.29
query72.sql,tpcds,5,34.05
query73.sql,tpcds,5,13.73
query74.sql,tpcds,5,41.94
query75.sql,tpcds,5,41.52
query76.sql,tpcds,5,14.94
query77.sql,tpcds,5,36.01
query78.sql,tpcds,5,38.26
query79.sql,tpcds,5,14.82
query8.sql,tpcds,5,14.27
query80.sql,tpcds,5,32.86
query81.sql,tpcds,5,17.09
query82.sql,tpcds,5,14.97
query83.sql,tpcds,5,15.95
query84.sql,tpcds,5,14.48
query85.sql,tpcds,5,18.87
query86.sql,tpcds,5,14.25
query87.sql,tpcds,5,25.15
query88.sql,tpcds,5,18.07
query89.sql,tpcds,5,15.29
query9.sql,tpcds,5,18.98
query90.sql,tpcds,5,13.55
query91.sql,tpcds,5,12.78
query92.sql,tpcds,5,13.65
query93.sql,tpcds,5,23.16
query94.sql,tpcds,5,18.60
query95.sql,tpcds,5,26.05
query96.sql,tpcds,5,12.00
query97.sql,tpcds,5,17.38
query98.sql,tpcds,5,15.13
query99.sql,tpcds,5,14.31
1.sql,tpch,6,31.24
10.sql,tpch,6,23.36
11.sql,tpch,6,12.45
12.sql,tpch,6,18.05
13.sql,tpch,6,17.58
14.sql,tpch,6,14.71
15.sql,tpch,6,18.10
16.sql,tpch,6,20.00
17.sql,tpch,6,35.40
18.sql,tpch,6,35.02
19.sql,tpch,6,14.91
2.sql,tpch,6,21.44
20.sql,tpch,6,24.41
21.sql,tpch,6,32.65
22.sql,tpch,6,14.81
3.sql,tpch,6,21.86
4.sql,tpch,6,17.51
5.sql,tpch,6,24.75
6.sql,tpch,6,11.61
7.sql,tpch,6,24.41
8.sql,tpch,6,28.10
9.sql,tpch,6,33.52
query1.sql,tpcds,6,16.52
query10.sql,tpcds,6,18.82
query11.sql,tpcds,6,42.51
query12.sql,tpcds,6,14.85
query13.sql,tpcds,6,14.03
query14.sql,tpcds,6,8.55
query15.sql,tpcds,6,14.43
query16.sql,tpcds,6,20.56
query17.sql,tpcds,6,26.29
query18.sql,tpcds,6,15.33
query19.sql,tpcds,6,14.18
query2.sql,tpcds,6,16.19
query20.sql,tpcds,6,14.04
query21.sql,tpcds,6,13.56
query22.sql,tpcds,6,14.51
query23.sql,tpcds,6,8.76
query24.sql,tpcds,6,8.36
query25.sql,tpcds,6,26.17
query26.sql,tpcds,6,14.09
query27.sql,tpcds,6,14.84
query28.sql,tpcds,6,22.05
query29.sql,tpcds,6,26.21
query3.sql,tpcds,6,12.78
query30.sql,tpcds,6,8.68
query31.sql,tpcds,6,22.62
query32.sql,tpcds,6,13.81
query33.sql,tpcds,6,17.92
query34.sql,tpcds,6,14.84
query35.sql,tpcds,6,20.70
query36.sql,tpcds,6,15.09
