query,dataset,run_number,listener_register_time
query20.sql,tpcds,4,14.48
query21.sql,tpcds,4,12.98
query22.sql,tpcds,4,14.65
query23.sql,tpcds,4,8.49
query24.sql,tpcds,4,8.67
query25.sql,tpcds,4,27.98
query26.sql,tpcds,4,14.94
query27.sql,tpcds,4,15.11
query28.sql,tpcds,4,23.07
query29.sql,tpcds,4,26.72
query3.sql,tpcds,4,13.30
query30.sql,tpcds,4,8.86
query31.sql,tpcds,4,23.86
query32.sql,tpcds,4,14.13
query33.sql,tpcds,4,17.07
query34.sql,tpcds,4,15.02
query35.sql,tpcds,4,21.96
query36.sql,tpcds,4,15.86
query37.sql,tpcds,4,14.20
query38.sql,tpcds,4,26.89
query39.sql,tpcds,4,8.33
query4.sql,tpcds,4,61.96
query40.sql,tpcds,4,18.52
query41.sql,tpcds,4,11.00
query42.sql,tpcds,4,13.24
query43.sql,tpcds,4,13.40
query44.sql,tpcds,4,16.67
query45.sql,tpcds,4,13.90
query46.sql,tpcds,4,14.74
query47.sql,tpcds,4,32.96
query48.sql,tpcds,4,14.56
query49.sql,tpcds,4,22.18
query5.sql,tpcds,4,20.89
query50.sql,tpcds,4,19.89
query51.sql,tpcds,4,31.03
query52.sql,tpcds,4,12.87
query53.sql,tpcds,4,14.50
query54.sql,tpcds,4,19.67
query55.sql,tpcds,4,13.39
query56.sql,tpcds,4,16.74
query57.sql,tpcds,4,23.11
query58.sql,tpcds,4,17.35
query59.sql,tpcds,4,17.45
query6.sql,tpcds,4,19.58
query60.sql,tpcds,4,17.40
query61.sql,tpcds,4,13.45
query62.sql,tpcds,4,14.18
query63.sql,tpcds,4,14.31
query64.sql,tpcds,4,51.03
query65.sql,tpcds,4,19.30
query66.sql,tpcds,4,16.31
query67.sql,tpcds,4,8.73
query68.sql,tpcds,4,15.18
query69.sql,tpcds,4,15.69
query7.sql,tpcds,4,15.37
query70.sql,tpcds,4,15.72
query71.sql,tpcds,4,15.25
query72.sql,tpcds,4,34.60
query73.sql,tpcds,4,14.10
query74.sql,tpcds,4,43.01
query75.sql,tpcds,4,40.79
query76.sql,tpcds,4,14.79
query77.sql,tpcds,4,34.97
query78.sql,tpcds,4,38.17
query79.sql,tpcds,4,14.81
query8.sql,tpcds,4,14.12
query80.sql,tpcds,4,33.42
query81.sql,tpcds,4,16.91
query82.sql,tpcds,4,15.43
query83.sql,tpcds,4,15.66
query84.sql,tpcds,4,14.86
query85.sql,tpcds,4,17.87
query86.sql,tpcds,4,13.84
query87.sql,tpcds,4,25.33
query88.sql,tpcds,4,18.58
query89.sql,tpcds,4,15.40
query9.sql,tpcds,4,18.50
query90.sql,tpcds,4,12.55
query91.sql,tpcds,4,12.86
query92.sql,tpcds,4,14.09
query93.sql,tpcds,4,23.74
query94.sql,tpcds,4,19.45
query95.sql,tpcds,4,25.66
query96.sql,tpcds,4,12.38
query97.sql,tpcds,4,18.47
query98.sql,tpcds,4,15.37
query99.sql,tpcds,4,14.21
1.sql,tpch,5,32.38
10.sql,tpch,5,22.89
11.sql,tpch,5,12.29
12.sql,tpch,5,17.32
13.sql,tpch,5,17.34
14.sql,tpch,5,14.43
15.sql,tpch,5,17.12
16.sql,tpch,5,20.85
17.sql,tpch,5,36.61
18.sql,tpch,5,35.33
19.sql,tpch,5,16.60
2.sql,tpch,5,19.45
20.sql,tpch,5,22.45
21.sql,tpch,5,31.67
22.sql,tpch,5,14.26
3.sql,tpch,5,22.86
4.sql,tpch,5,18.71
5.sql,tpch,5,26.15
6.sql,tpch,5,11.94
7.sql,tpch,5,24.61
8.sql,tpch,5,28.08
9.sql,tpch,5,33.38
query1.sql,tpcds,5,17.13
query10.sql,tpcds,5,18.89
query11.sql,tpcds,5,41.26
query12.sql,tpcds,5,14.52
query13.sql,tpcds,5,14.01
query14.sql,tpcds,5,8.54
query15.sql,tpcds,5,15.37
query16.sql,tpcds,5,22.23
query17.sql,tpcds,5,26.78
query18.sql,tpcds,5,15.53
query19.sql,tpcds,5,14.98
query2.sql,tpcds,5,16.30
query20.sql,tpcds,5,14.61
query21.sql,tpcds,5,14.23
query22.sql,tpcds,5,14.51
query23.sql,tpcds,5,8.21
query24.sql,tpcds,5,8.70
query25.sql,tpcds,5,27.80
query26.sql,tpcds,5,14.89
query27.sql,tpcds,5,14.85
query28.sql,tpcds,5,23.16
query29.sql,tpcds,5,27.94
query3.sql,tpcds,5,13.83
query30.sql,tpcds,5,8.98
query31.sql,tpcds,5,21.92
query32.sql,tpcds,5,14.58
query33.sql,tpcds,5,17.83
query34.sql,tpcds,5,15.34
query35.sql,tpcds,5,21.44
query36.sql,tpcds,5,14.73
query37.sql,tpcds,5,14.77
query38.sql,tpcds,5,25.11
